year,state,name,lat,lon,duration_minutes,POPULATI_1,SQMI,POP20_SQMI,fips_city,closest_city,closest_distance,second_closest_city,second_closest_distance
2023,NV,CARLIN,40.719013,-116.108045,4.5,2050,10.44,196.4,3208900,ELKO,31.561121278473777,SPRING CREEK,43.06448008095912
2023,NV,CRESCENT VALLEY,40.419777,-116.575315,4.3,512,2.23,229.599999999999,3216300,BATTLE MOUNTAIN,39.156264548400394,CARLIN,51.622366678958024
2023,NV,DENIO,41.988859,-118.637483,4.333333333333333,34,0.46,73.9,3218500,MCDERMITT,75.7617734195147,FORT MCDERMITT,82.54113383700425
2023,NV,ELKO,40.838111,-115.767809,4.116666666666666,20564,17.85,1152,3222500,OSINO,14.544124807938179,SPRING CREEK,17.71063935998181
2023,NV,ELY,39.264928,-114.870868,3.6333333333333333,3924,7.63,514.2999999999989,3223500,RUTH,10.382457060072936,MCGILL,17.225521170421455
2023,NV,EUREKA,39.5112,-115.965824,2.183333333333333,414,1.29,320.89999999999895,3223900,RUTH,87.72403805409034,ELY,98.00217130904701
2023,NV,FORT MCDERMITT,41.965509,-117.639454,3.3333333333333335,267,17.9699999999999,14.9,3225490,MCDERMITT,7.268270197960533,OROVADA,48.74464571130743
2023,NV,GOLCONDA,40.952131,-117.499672,4.416666666666667,182,1.69,107.7,3228500,WINNEMUCCA,18.93691923588382,GRASS VALLEY,27.880100625244328
2023,NV,GRASS VALLEY,40.797081,-117.760261,4,991,34.5099999999999,28.6999999999999,3230220,WINNEMUCCA,18.849535976002482,GOLCONDA,27.880100625244328
2023,NV,HUMBOLDT RIVER RANCH,40.431795,-118.271874,1.1666666666666667,249,20.18,12.3,3234100,UNIONVILLE,12.700656805864744,IMLAY,27.382989248559415
2023,NV,IMLAY,40.658106,-118.144098,3.0166666666666666,210,1.18,178,3234700,UNIONVILLE,23.56865990333275,HUMBOLDT RIVER RANCH,27.382989248559415
2023,NV,LAMOILLE,40.723853,-115.478949,4.066666666666666,130,1.84,70.7,3239300,SPRING CREEK,10.281863309946285,ELKO,27.439930932063536
2023,NV,MCDERMITT,41.990328,-117.72079600000001,3.3833333333333333,124,1.57,79,3244000,FORT MCDERMITT,7.268270197960533,OROVADA,49.784885646951906
2023,NV,MCGILL,39.401982,-114.777511,4.066666666666666,1010,1.21,834.7,3244200,ELY,17.225521170421455,RUTH,22.807705536606846
2023,NV,OROVADA,41.549216,-117.823596,4.433333333333334,117,22.18,5.3,3253000,PARADISE VALLEY,24.132876424480905,FORT MCDERMITT,48.74464571130743
2023,NV,OSINO,40.940877,-115.660774,3.716666666666667,668,2.58,258.899999999999,3253200,ELKO,14.544124807938179,SPRING CREEK,22.512887985348193
2023,NV,PARADISE VALLEY,41.484384,-117.546976,4.366666666666666,71,3.43,20.6999999999999,3255400,OROVADA,24.132876424480905,FORT MCDERMITT,54.04642933123203
2023,NV,PRESTON,38.914945,-115.063674,0.3333333333333333,76,1.29,58.899999999999906,3258000,RUTH,41.00838254934635,ELY,42.324649897089095
2023,NV,RUTH,39.279288,-114.990045,3.45,371,0.35,1060,3263800,ELY,10.382457060072936,MCGILL,22.807705536606846
2023,NV,SPRING CREEK,40.744057,-115.598029,4.133333333333334,14967,53.729999999999905,278.6,3268550,LAMOILLE,10.281863309946285,ELKO,17.71063935998181
2023,NV,UNIONVILLE,40.44675,-118.123093,1.7166666666666666,27,0.77,35.1,3276400,HUMBOLDT RIVER RANCH,12.700656805864744,IMLAY,23.56865990333275
2023,NV,VALMY,40.790802,-117.126876,4.433333333333334,26,0.22,118.2,3278200,BATTLE MOUNTAIN,23.49760963458401,GOLCONDA,36.11611810810047
2023,NV,WELLS,41.113155,-114.953537,0.5,1237,6.9,179.3,3283000,LAMOILLE,61.82899094167035,OSINO,62.342886092702415
2023,NV,WINNEMUCCA,40.96444,-117.724594,4.316666666666666,8431,9.77999999999999,862.1,3284800,GRASS VALLEY,18.849535976002482,GOLCONDA,18.93691923588382
2023,NM,ABEYTAS,34.465202,-106.813755,3.1333333333333333,45,1.23,36.6,3500240,LAS NUTRIAS,3.9705190621406836,VEGUITA,6.922896079098796
2023,NM,ACOMITA LAKE,35.068881,-107.614564,3.4166666666666665,339,4.04,83.9,3500765,SKYLINE-GANIPA,3.6458167995525526,SAN FIDEL,4.053516706671358
2023,NM,ADELINO,34.70639,-106.731823,4.083333333333333,735,2.98,246.599999999999,3500940,TOME,3.6752958246696643,SAUSAL,3.8127511925355067
2023,NM,AGUA FRIA,35.661557,-106.014788,2.8833333333333333,2913,2.42,1203.7,3501220,SANTA FE,2.9792523380961033,TRES ARROYOS,3.0420900127535107
2023,NM,ALAMILLO,34.251883,-106.9158,0.3,124,1.2,103.299999999999,3501640,SAN ACACIA,1.2879997988214429,CHAMIZAL,3.739031699225257
2023,NM,ALBUQUERQUE,35.10478,-106.646809,4.733333333333333,564559,188.949999999999,2987.9,3502000,LOS RANCHOS DE ALBUQUERQUE,6.357993712449217,NORTH VALLEY,7.906332315271083
2023,NM,ALGODONES,35.370711,-106.488878,4.55,720,7.41,97.2,3502210,SANTA ANA PUEBLO,3.157799139872579,PLACITAS,6.782623477779315
2023,NM,ANGUSTURA,36.712792,-107.917248,3.6333333333333333,1407,4.85,290.1,3503680,BLOOMFIELD,6.085804143833624,TURLEY,11.461153010674385
2023,NM,ANTON CHICO,35.194869,-105.143897,2.15,161,1.79,89.9,3503890,LLANO DEL MEDIO,2.616659469839512,TECOLOTITO,4.34756434282501
2023,NM,ANZAC VILLAGE,35.062402,-107.74138,3.066666666666667,67,0.98,68.4,3503970,MCCARTYS VILLAGE,7.0937357244250325,MOUNT TAYLOR,9.12651486105716
2023,NM,ARROYO HONDO,35.610294,-105.944991,2.9,331,3.17,104.4,3505002,SETON VILLAGE,1.5602003515123446,CONEJO,2.0618047012875436
2023,NM,ARTESIA,32.852173,-104.42457,3.3833333333333333,12875,11.3599999999999,1133.4,3505220,MORNINGSIDE,2.749743191671112,ATOKA,8.74087100410894
2023,NM,ATOKA,32.777976,-104.393677,3.2,1153,6.79,169.8,3505430,ARTESIA,8.74087100410894,MORNINGSIDE,9.23753384369482
2023,NM,AZTEC,36.815898,-107.970312,3.4,6201,17.1499999999999,361.6,3505780,CENTER POINT,6.26898290434867,NORTH LIGHT PLANT,7.97045266740744
2023,NM,BARTON,35.065283,-106.256859,4.683333333333334,1282,9.16,140,3506220,SEDILLO,3.709978312090353,THUNDER MOUNTAIN,5.053935337696627
2023,NM,BECENTI,35.812278,-108.170855,4.35,294,0.94,312.8,3506340,CROWNPOINT,8.77887188360973,BORREGO PASS,30.68544656687327
2023,NM,BECLABITO,36.83347,-109.003821,4.65,265,7.53,35.2,3506425,TEEC NOS POS,12.32694085405452,RED ROCK,26.397257836848045
2023,NM,BELEN,34.766572,-106.808512,4.116666666666666,7360,18.98,387.8,3506480,LOS LUNAS,4.221557597431967,LOS CHAVES,5.682593137432567
2023,NM,BERNALILLO,35.312363,-106.554104,4.65,8977,4.92,1824.5999999999901,3506970,SANTA ANA PUEBLO,5.661185492369889,PUEBLO OF SANDIA VILLAGE,6.688059350689406
2023,NM,BIBO,35.172546,-107.406978,4.133333333333334,121,4.2,28.8,3507145,PAGUATE,1.8843479580903768,SEBOYETA,3.6703502215802004
2023,NM,BLACK HAT,35.631051,-108.964078,1.65,12,1.04,11.5,3507492,TSE BONITO,4.250048623123845,WINDOW ROCK,9.959751895798023
2023,NM,BLANCO,36.76178,-107.770245,3.1,491,6.49,75.7,3507810,TURLEY,3.407254410243391,ANGUSTURA,14.186911727713175
2023,NM,BLOOMFIELD,36.743306,-107.973937,3.65,7421,18.59,399.19999999999897,3507880,ANGUSTURA,6.085804143833624,AZTEC,8.078328564033495
2023,NM,BLUEWATER,35.324306,-108.205991,2.9,174,11.76,14.8,3508180,LAS TUSAS,9.196908760798612,STONERIDGE,9.634558215091618
